Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.1_2|0.2_0|0.3_3|0.3_4|0.5_2|1.12_0|1.14_0|1.15_0|1.7_1|1.7_2|1.8_0|1.9_0|4.2_1|4.3_1,6158.270776641571,374,374,374
1,0.1_2|0.3_1|0.3_2|0.3_3|0.3_4|0.4_0|0.5_1|0.6_1|1.11_2|1.15_0|1.1_0|1.7_2|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.1_1|4.1_2|4.2_1|4.2_2|4.2_3|4.3_2,5028.281418489414,53,53,53
2,0.2_0|0.3_1|0.3_2|1.0_0|1.11_1|1.12_0|1.15_0|1.7_2|4.11_0|4.11a_1|4.11b_1|4.11b_2|4.1_1|4.1_2|4.2_3|4.4_0,4449.061730126365,486,486,53
3,0.1_1|0.3_1|0.3_2|0.3_3|0.4_0|0.5_1|0.5_3|0.6_1|1.0_0|1.11_2|1.15_0|1.1_0|1.6_0|1.7_1|1.8_0|4.11_0|4.11a_2|4.11a_3|4.11b_2|4.13_0|4.2_1|4.2_2|4.2_3|4.3_2|4.3a_0,4084.1429487023024,12,12,12
4,0.1_2|0.2_0|0.3_1|0.3_3|0.3_4|0.5_1|0.5_4|0.6_1|1.11_1|1.11_2|1.12_0|1.14_0|1.15_0|1.6_0|1.7_1|1.8_0|1.9_0|4.11a_1|4.11a_2|4.11b_2|4.13_0|4.1_1|4.2_2|4.2_3|4.3_2|4.3a_0|4.4_0,3827.6288258820373,21,21,12
5,0.1_1|0.3_1|0.3_3|0.5_4|1.11_1|1.11_2|1.13_0|1.15_0|1.1_0|1.6_0|1.7_1|1.8_0|4.11b_1|4.13_0|4.2_2|4.2_3|4.3_2|4.3a_0|4.4_0,3634.620163062334,153,153,12
6,0.1_1|0.2_0|0.3_3|0.3_4|0.4_0|0.5_1|0.5_2|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.12_0|1.14_0|1.1_0|1.8_0|4.0_0|4.11_0|4.11a_3|4.13_0|4.1_1|4.2_1|4.2_2|4.3_1|4.4_0,3482.503603691238,6,6,6
7,0.1_2|0.2_0|0.3_3|0.3_4|0.4_0|0.5_1|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.15_0|1.6_0|1.7_2|1.9_0|4.0_0|4.11b_1|4.11b_2|4.13_0|4.2_3|4.3_2|4.3a_0|4.4_0,3358.519859369465,8,8,6
8,0.1_1|0.1_2|0.2_0|0.3_3|0.4_0|0.5_1|0.5_4|1.12_0|1.14_0|1.1_0|1.6_0|1.8_0|1.9_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.13_0|4.1_2|4.2_3|4.3_2|4.3a_0|4.4_0,3254.8623095837847,43,43,6
9,0.3_1|0.3_2|0.3_3|0.4_0|0.5_3|0.6_1|1.11_1|1.12_0|1.13_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_2|4.2_1|4.2_2|4.2_3|4.3a_0,3166.4550859927226,42,42,6
10,0.1_1|0.1_2|0.2_0|0.4_0|0.5_2|0.5_4|1.0_0|1.11_1|1.12_0|1.15_0|1.9_0|4.0_0|4.11a_2|4.11a_3|4.1_1|4.1_2|4.2_1|4.3_2|4.3a_0,3089.8376620734493,130,130,6
11,0.1_2|0.2_0|0.3_1|0.3_4|0.4_0|0.5_1|0.6_1|1.11_2|1.12_0|1.13_0|1.14_0|1.15_0|1.7_1|1.7_2|1.8_0|4.11a_2|4.11a_3|4.11b_2|4.2_3|4.3_2|4.3a_0|4.4_0,3022.5593964250993,163,130,6
