Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
0,0.3_2|0.3_3|0.3_4|0.5_1|0.6_1|1.11_2|1.13_0|1.14_0|1.1_0|1.6_0|1.9_0|4.0_0|4.11a_1|4.11a_3|4.11b_1|4.11b_2|4.1_1|4.1_2|4.3a_0|4.4_0,9999.01,23,23,23
1,0.1_1|0.3_1|0.3_3|0.5_1|0.5_3|0.5_4|1.11_1|1.11_2|1.13_0|1.14_0|1.1_0|1.7_1|1.8_0|4.11_0|4.11a_1|4.11a_3|4.11b_1|4.13_0|4.1_1|4.2_1|4.2_2|4.3_1|4.3_2|4.3a_0,9998.02,52,52,23
2,0.1_2|0.3_1|0.3_2|0.3_4|0.4_0|0.5_1|0.5_3|0.5_4|0.6_1|1.0_0|1.11_1|1.11_2|1.12_0|1.14_0|1.1_0|1.6_0|1.7_1|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.2_1|4.2_2|4.3_1|4.3a_0|4.4_0,9997.03,11,11,11
3,0.1_1|0.1_2|0.3_1|0.5_1|0.5_3|0.5_4|1.11_2|1.15_0|1.8_0|1.9_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.1_1|4.2_2,9996.04,244,244,11
4,0.2_0|0.3_3|0.4_0|0.5_2|0.6_1|1.11_1|1.11_2|1.12_0|1.13_0|1.14_0|1.15_0|1.6_0|1.7_2|1.8_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11b_1|4.11b_2|4.2_1|4.2_2|4.4_0,9995.05,32,32,11
5,0.1_1|0.1_2|0.3_2|0.3_4|0.5_2|0.5_3|1.0_0|1.11_2|1.12_0|1.14_0|1.1_0|1.6_0|1.7_1|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11b_1|4.2_3|4.3_1|4.3a_0|4.4_0,9994.06,28,28,11
6,0.1_1|0.3_1|0.3_2|0.3_3|0.5_1|0.5_4|0.6_1|1.0_0|1.12_0|1.14_0|1.15_0|1.7_2|1.9_0|4.0_0|4.11_0|4.11a_1|4.11a_2|4.11a_3|4.11b_2|4.1_1|4.1_2|4.2_3|4.3a_0,9993.07,9,9,9
7,0.1_1|0.1_2|0.2_0|0.3_1|0.3_2|0.3_4|0.6_1|1.13_0|1.14_0|1.6_0|1.8_0|4.11a_2|4.11b_1|4.13_0|4.1_1|4.4_0,9992.08,326,326,9
8,0.1_1|0.1_2|0.3_3|0.5_1|0.5_2|0.6_1|1.0_0|1.11_1|1.12_0|1.13_0|1.6_0|1.9_0|4.0_0|4.11_0|4.11a_1|4.11b_1|4.11b_2|4.1_1|4.1_2|4.3_1|4.3a_0|4.4_0,9991.09,7,7,7
9,0.3_2|0.3_3|0.4_0|0.5_2|0.5_3|0.6_1|1.13_0|1.14_0|1.6_0|1.9_0|4.11_0|4.11a_2|4.11a_3|4.11b_1|4.11b_2|4.1_2|4.2_2|4.3_2|4.3a_0|4.4_0,9990.1,19,19,7
